source_keyframe_id,target_keyframe_id,fitness,inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,edge_source,quality_accepted,failure_reason
29,30,0.9952038369304557,0.021177224422001727,830,0.9952038369304557,0.021177224422001754,0.022194067079446732,keyframe_icp,True,
30,31,0.9636898920510304,0.024769301747731905,982,0.9636898920510304,0.024769301747731922,0.0785593148290992,keyframe_icp,True,
31,32,0.8732718894009217,0.027720631561663978,1137,0.8732718894009217,0.02772063156166397,0.10339008694566958,odometry_prediction_fallback,False,residual_rmse_m 0.1034 > 0.0800
32,33,0.8854003139717426,0.028262638582532404,1128,0.8854003139717426,0.0282626385825324,0.06623550568750153,keyframe_icp,True,
33,34,0.8839590443686007,0.027598961971602685,1036,0.8839590443686007,0.027598961971602776,0.18243934511153023,odometry_prediction_fallback,False,residual_rmse_m 0.1824 > 0.0800
34,35,0.9634517766497462,0.02655654140018705,949,0.9634517766497462,0.02655654140018705,0.032414476627273925,keyframe_icp,True,
35,36,0.9011446409989594,0.027373532854903754,866,0.9011446409989594,0.027373532854903827,0.07519327735876866,keyframe_icp,True,
36,37,0.8968347010550997,0.024441626947554546,765,0.8968347010550997,0.024441626947554546,0.3426243901156711,odometry_prediction_fallback,False,residual_rmse_m 0.3426 > 0.0800
37,38,0.9227895392278954,0.02461270637050958,741,0.9227895392278954,0.02461270637050961,0.05401135952951275,keyframe_icp,True,
38,39,0.8569832402234637,0.027864270487410497,767,0.8569832402234637,0.027864270487410515,0.08010483005850101,odometry_prediction_fallback,False,residual_rmse_m 0.0801 > 0.0800
39,40,0.9270946681175191,0.026875635845429683,852,0.9270946681175191,0.026875635845429683,0.04235645387109524,keyframe_icp,True,
40,41,0.9885057471264368,0.026094130228358495,946,0.9885057471264368,0.02609413022835852,0.029075000820523944,keyframe_icp,True,
41,42,0.828140703517588,0.023328293634483143,824,0.828140703517588,0.023328293634483133,0.15690885614787387,odometry_prediction_fallback,False,residual_rmse_m 0.1569 > 0.0800
42,43,0.9012074643249177,0.02406600190277859,821,0.9012074643249177,0.024066001902778585,0.17163219014363498,odometry_prediction_fallback,False,residual_rmse_m 0.1716 > 0.0800
43,44,0.9193548387096774,0.02549497717564961,855,0.9193548387096774,0.02549497717564962,0.042227579612279444,keyframe_icp,True,
44,45,0.9628865979381444,0.02446145759801695,934,0.9628865979381444,0.024461457598016982,0.03352532055779953,keyframe_icp,True,
45,46,0.961028192371476,0.026637368047580247,1159,0.961028192371476,0.026637368047580236,0.03772667240289003,keyframe_icp,True,
46,47,0.961764705882353,0.025853113056479884,1308,0.961764705882353,0.025853113056479797,0.04665665259989743,keyframe_icp,True,
47,48,0.9153284671532846,0.027264959349751587,1254,0.9153284671532846,0.027264959349751774,0.04857655964590337,keyframe_icp,True,
48,49,0.9893790849673203,0.027132686623427497,1211,0.9893790849673203,0.027132686623427486,0.029937645806485596,keyframe_icp,True,
49,50,0.822890559732665,0.026776988160153527,985,0.822890559732665,0.02677698816015352,0.1088131289154734,odometry_prediction_fallback,False,residual_rmse_m 0.1088 > 0.0800
50,51,0.9528487229862476,0.026037135080195107,970,0.9528487229862476,0.02603713508019509,0.03737883279713639,keyframe_icp,True,
51,52,0.9072164948453608,0.026598247213380808,880,0.9072164948453608,0.026598247213380798,0.05883737056006447,keyframe_icp,True,
52,53,0.8237837837837838,0.025756173926556294,762,0.8237837837837838,0.02575617392655631,0.25115182700365185,odometry_prediction_fallback,False,residual_rmse_m 0.2512 > 0.0800
53,54,0.9714285714285714,0.02649402577231409,850,0.9714285714285714,0.02649402577231406,0.03185229200384659,keyframe_icp,True,
54,55,0.8896396396396397,0.02618185321620775,790,0.8896396396396397,0.02618185321620777,0.05466347086991915,keyframe_icp,True,
55,56,0.9133016627078385,0.026232040947001333,769,0.9133016627078385,0.02623204094700132,0.06201172411983684,keyframe_icp,True,
56,57,0.972877358490566,0.02575848075569149,825,0.972877358490566,0.025758480755691475,0.05086468320538386,keyframe_icp,True,
57,58,0.798154555940023,0.02851729439122907,692,0.798154555940023,0.02851729439122906,0.124869592944904,odometry_prediction_fallback,False,residual_rmse_m 0.1249 > 0.0800
58,59,0.9266169154228856,0.02399185145595794,745,0.9266169154228856,0.023991851455957933,0.04563258539791917,keyframe_icp,True,
59,60,0.9273318872017353,0.027197395945319815,855,0.9273318872017353,0.02719739594531983,0.041932770441252716,keyframe_icp,True,
60,61,0.9436325678496869,0.02472464217146635,904,0.9436325678496869,0.024724642171466336,0.12943125026876257,odometry_prediction_fallback,False,residual_rmse_m 0.1294 > 0.0800
61,62,0.9527720739219713,0.02418578830968986,928,0.9527720739219713,0.02418578830968983,0.04112990817468277,keyframe_icp,True,
62,63,0.9947312961011591,0.022617248120434294,944,0.9947312961011591,0.02261724812043432,0.024321214556046793,keyframe_icp,True,
63,64,0.9807507218479307,0.025224189219855177,1019,0.9807507218479307,0.025224189219855184,0.028039333966003215,keyframe_icp,True,
64,65,0.9707357859531772,0.025921580083585607,1161,0.9707357859531772,0.025921580083585714,0.03231562118018956,keyframe_icp,True,
65,66,0.9820627802690582,0.027468186090643592,1314,0.9820627802690582,0.027468186090643627,0.0309065823899624,keyframe_icp,True,
66,67,0.9777777777777777,0.026629180391755634,1452,0.9777777777777777,0.026629180391755658,0.032612535589883467,keyframe_icp,True,
67,68,0.8388278388278388,0.031149265122488237,1374,0.8388278388278388,0.03114926512248821,0.10715645072015087,odometry_prediction_fallback,False,residual_rmse_m 0.1072 > 0.0800
68,69,0.922077922077922,0.02824659263856801,1207,0.922077922077922,0.028246592638567988,0.05215821729774795,keyframe_icp,True,
69,70,0.868595041322314,0.029259310887156057,1051,0.868595041322314,0.029259310887156085,0.1429835183498416,odometry_prediction_fallback,False,residual_rmse_m 0.1430 > 0.0800
70,71,0.9137749737118822,0.026788581429198592,869,0.9137749737118822,0.02678858142919862,0.058458225365340545,keyframe_icp,True,
71,72,0.8989667049368542,0.021878079064642234,783,0.8989667049368542,0.021878079064642234,0.1677927724805946,odometry_prediction_fallback,False,residual_rmse_m 0.1678 > 0.0800
72,73,0.9670886075949368,0.02345886196512138,764,0.9670886075949368,0.023458861965121373,0.04024400196790821,keyframe_icp,True,
73,74,0.910025706940874,0.02407755444378329,708,0.910025706940874,0.024077554443783306,0.06763534875725978,keyframe_icp,True,
74,75,0.8488830486202366,0.026151468944828164,646,0.8488830486202366,0.026151468944828147,0.06109599787401369,keyframe_icp,True,
75,76,0.7955882352941176,0.025699587984233198,541,0.7955882352941176,0.025699587984233187,0.286987968086316,odometry_prediction_fallback,False,residual_rmse_m 0.2870 > 0.0800
76,77,0.8909710391822828,0.025821357103122253,523,0.8909710391822828,0.025821357103122288,0.08078012793416656,odometry_prediction_fallback,False,residual_rmse_m 0.0808 > 0.0800
77,78,0.9895833333333334,0.02409997864077174,570,0.9895833333333334,0.024099978640771676,0.03064782103571675,keyframe_icp,True,
78,79,0.9914383561643836,0.022015532758697425,579,0.9914383561643836,0.02201553275869744,0.024687706083122707,keyframe_icp,True,
79,80,0.9404388714733543,0.02200695303851031,600,0.9404388714733543,0.022006953038510302,0.03516794198738324,keyframe_icp,True,
80,81,0.9278195488721804,0.023583539277435218,617,0.9278195488721804,0.023583539277435197,0.09635192780900044,odometry_prediction_fallback,False,residual_rmse_m 0.0964 > 0.0800
81,82,0.9030898876404494,0.02597277539652069,643,0.9030898876404494,0.02597277539652067,0.07183039492978466,keyframe_icp,True,
82,83,0.9971830985915493,0.023000193345938204,708,0.9971830985915493,0.023000193345938197,0.02342582871950526,keyframe_icp,True,
83,84,0.9987745098039216,0.02506417779200017,815,0.9987745098039216,0.02506417779200015,0.025209531098403296,keyframe_icp,True,
84,85,0.9881081081081081,0.026824051883999007,914,0.9881081081081081,0.02682405188399899,0.029319993413390793,keyframe_icp,True,
85,86,0.9831045406546991,0.027966177501597776,931,0.9831045406546991,0.027966177501597748,0.030662836390015373,keyframe_icp,True,
86,87,0.9817792068595927,0.02738197334844461,916,0.9817792068595927,0.027381973348444586,0.03071822296920304,keyframe_icp,True,
87,88,0.995,0.022474046712108127,995,0.995,0.022474046712108113,0.023775532060670467,keyframe_icp,True,
88,89,0.9570112589559877,0.025007356877947383,935,0.9570112589559877,0.025007356877947303,0.044551969386043395,keyframe_icp,True,
89,90,0.9211986681465039,0.023247377979761147,830,0.9211986681465039,0.023247377979761147,0.14790139809782116,odometry_prediction_fallback,False,residual_rmse_m 0.1479 > 0.0800
90,91,0.9794594594594594,0.023585864354001403,906,0.9794594594594594,0.023585864354001375,0.03361829880649562,keyframe_icp,True,
91,92,0.96900826446281,0.021739209533498016,938,0.96900826446281,0.02173920953349797,0.04080979822666305,keyframe_icp,True,
92,93,0.8532008830022075,0.024658968126445968,773,0.8532008830022075,0.02465896812644599,0.10666440779126143,odometry_prediction_fallback,False,residual_rmse_m 0.1067 > 0.0800
93,94,0.8731527093596059,0.024351513392538916,709,0.8731527093596059,0.024351513392538895,0.12048398562665866,odometry_prediction_fallback,False,residual_rmse_m 0.1205 > 0.0800
94,95,0.9799465240641712,0.026440323687133185,733,0.9799465240641712,0.026440323687133165,0.03029311141593529,keyframe_icp,True,
95,96,0.8617021276595744,0.0245443084626833,648,0.8617021276595744,0.02454430846268327,0.2503904329189321,odometry_prediction_fallback,False,residual_rmse_m 0.2504 > 0.0800
96,97,0.9749430523917996,0.024604283653697944,856,0.9749430523917996,0.024604283653697934,0.029441210021849698,keyframe_icp,True,
97,98,0.9948612538540597,0.025580334510076387,968,0.9948612538540597,0.025580334510076387,0.026567638799653938,keyframe_icp,True,
98,99,0.966824644549763,0.02662170426553916,1020,0.966824644549763,0.02662170426553906,0.03404493648246071,keyframe_icp,True,
99,100,0.9865092748735245,0.02624484982849032,1170,0.9865092748735245,0.026244849828490305,0.03408612652452819,keyframe_icp,True,
100,101,0.9172633253778838,0.028552192319524303,1153,0.9172633253778838,0.02855219231952429,0.0663727376364705,keyframe_icp,True,
101,102,0.8378978534418949,0.027390620339225034,1132,0.8378978534418949,0.02739062033922499,0.25267153459107194,odometry_prediction_fallback,False,residual_rmse_m 0.2527 > 0.0800
102,103,0.882988298829883,0.026877276655631027,981,0.882988298829883,0.02687727665563104,0.06291236681310275,keyframe_icp,True,
103,104,0.9310344827586207,0.027449729382664313,1026,0.9310344827586207,0.027449729382664302,0.056837250616319196,keyframe_icp,True,
104,105,0.9433040078201369,0.02578409695401652,965,0.9433040078201369,0.025784096954016514,0.13001531342946018,odometry_prediction_fallback,False,residual_rmse_m 0.1300 > 0.0800
105,106,0.896875,0.0267826898595978,861,0.896875,0.026782689859597794,0.08963475093109784,odometry_prediction_fallback,False,residual_rmse_m 0.0896 > 0.0800
106,107,0.9269141531322506,0.025539284746147965,799,0.9269141531322506,0.025539284746147972,0.04747788648287799,keyframe_icp,True,
107,108,0.7482435597189696,0.025137270414380547,639,0.7482435597189696,0.025137270414380585,0.13911830464155223,odometry_prediction_fallback,False,residual_rmse_m 0.1391 > 0.0800
108,109,0.9118046132971506,0.021952117859237355,672,0.9118046132971506,0.021952117859237365,0.23627582041397271,odometry_prediction_fallback,False,residual_rmse_m 0.2363 > 0.0800
109,110,0.9021739130434783,0.027922129165884484,664,0.9021739130434783,0.02792212916588448,0.04480663662160828,keyframe_icp,True,
110,111,0.9136490250696379,0.026071972534929853,656,0.9136490250696379,0.02607197253492988,0.048678139346424655,keyframe_icp,True,
111,112,0.8833124215809285,0.02480062892770919,704,0.8833124215809285,0.024800628927709217,0.2370359954595141,odometry_prediction_fallback,False,residual_rmse_m 0.2370 > 0.0800
112,113,0.9829351535836177,0.024669091408916866,864,0.9829351535836177,0.024669091408916915,0.027392311077921658,keyframe_icp,True,
113,114,0.995995995995996,0.024593726596357945,995,0.995995995995996,0.02459372659635794,0.02554607496978222,keyframe_icp,True,
114,115,0.9936305732484076,0.02556156527675119,1092,0.9936305732484076,0.025561565276751207,0.02702998773254612,keyframe_icp,True,
115,116,0.9879931389365352,0.027131204809524998,1152,0.9879931389365352,0.027131204809524995,0.029329038021390443,keyframe_icp,True,
116,117,0.8576271186440678,0.028717301406832946,1012,0.8576271186440678,0.028717301406832933,0.0906368127956844,odometry_prediction_fallback,False,residual_rmse_m 0.0906 > 0.0800
117,118,0.9911738746690203,0.026358630131901314,1123,0.9911738746690203,0.026358630131901317,0.027804319833516625,keyframe_icp,True,
118,119,0.9338296112489661,0.02931416212721279,1129,0.9338296112489661,0.029314162127212797,0.16752046717115873,odometry_prediction_fallback,False,residual_rmse_m 0.1675 > 0.0800
119,120,0.8362869198312236,0.02593518142187344,991,0.8362869198312236,0.025935181421873458,0.09428620818170394,odometry_prediction_fallback,False,residual_rmse_m 0.0943 > 0.0800
120,121,0.8067581837381204,0.02772213946989383,764,0.8067581837381204,0.02772213946989385,0.22420706346352529,odometry_prediction_fallback,False,residual_rmse_m 0.2242 > 0.0800
121,122,0.8240620957309185,0.02528894426133466,637,0.8240620957309185,0.025288944261334694,0.10659309932970334,odometry_prediction_fallback,False,residual_rmse_m 0.1066 > 0.0800
122,123,0.9956772334293948,0.02080352028133314,691,0.9956772334293948,0.02080352028133314,0.022139680148912377,keyframe_icp,True,
123,124,0.9697386519944979,0.021651997437338245,705,0.9697386519944979,0.02165199743733823,0.08918370715438352,odometry_prediction_fallback,False,residual_rmse_m 0.0892 > 0.0800
